净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,high,low,previous_close,tr,atr,up_move,down_move,+dm,-dm,+di,-di,dx,adx,moving_average,deviation,recent_high,recent_low,historical_high,historical_low
2015-09-30,0.969,0.969,0.00%,开放申购,开放赎回,,0.969,0.969,0.969,0.0,0.0030714285714285743,0.0,0.0,0.0,0.0,56.55895306058395,56.02619165803002,0.4732075478389892,19.147105335014643,0.961,0.008324661810613952,0.972,0.949,1.007,0.949
2015-10-08,0.974,0.974,0.52%,开放申购,开放赎回,,0.974,0.969,0.969,0.0050000000000000044,0.0032857142857142885,0.0050000000000000044,-0.0050000000000000044,0.0050000000000000044,0.0,60.15638846580666,48.52966960701431,10.69752557499353,18.49481354479553,0.9620000000000001,0.012474012474012369,0.974,0.949,1.007,0.949
2015-10-09,0.975,0.975,0.10%,开放申购,开放赎回,,0.975,0.974,0.974,0.0010000000000000009,0.002928571428571431,0.0010000000000000009,-0.0010000000000000009,0.0010000000000000009,0.0,65.05061475890062,50.46073821465416,12.630686221454507,18.04471075432539,0.9632999999999999,0.012145748987854298,0.975,0.951,1.007,0.949
2015-10-12,0.98,0.98,0.51%,开放申购,开放赎回,,0.98,0.975,0.975,0.0050000000000000044,0.002928571428571431,0.0050000000000000044,-0.0050000000000000044,0.0050000000000000044,0.0,72.77565750880018,46.772175289501575,21.751529584957897,18.327721190051946,0.9647,0.01585985280398049,0.98,0.951,1.007,0.949
2015-10-13,0.983,0.983,0.31%,开放申购,开放赎回,,0.983,0.98,0.98,0.0030000000000000027,0.002785714285714288,0.0030000000000000027,-0.0030000000000000027,0.0030000000000000027,0.0,78.78346346809884,45.58246994940522,26.696212223355293,18.96351565339049,0.966,0.017598343685300222,0.983,0.951,1.007,0.949
2015-10-14,0.982,0.982,-0.10%,开放申购,开放赎回,,0.983,0.982,0.983,0.0010000000000000009,0.002642857142857145,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,76.99132653267753,47.30256033607132,23.88594237780719,19.33580355015625,0.9670499999999999,0.015459386794891818,0.983,0.951,1.007,0.949
2015-10-15,0.988,0.988,0.61%,开放申购,开放赎回,,0.988,0.982,0.982,0.006000000000000005,0.002785714285714288,0.006000000000000005,-0.006000000000000005,0.006000000000000005,0.0,83.39964855876876,41.611608678223284,33.42742150118941,20.397106238231203,0.96845,0.020186896587330225,0.988,0.951,1.007,0.949
2015-10-16,0.99,0.99,0.20%,开放申购,开放赎回,,0.99,0.988,0.988,0.0020000000000000018,0.002714285714285717,0.0020000000000000018,-0.0020000000000000018,0.0020000000000000018,0.0,84.72895846722382,39.603495923892716,36.2941942747937,21.589752444563103,0.9698500000000001,0.020776408722998286,0.99,0.951,1.007,0.949
2015-10-19,0.99,0.99,0.00%,开放申购,开放赎回,,0.99,0.99,0.99,0.0,0.002714285714285717,0.0,0.0,0.0,0.0,78.57995912024217,36.729367940029796,36.2941942747937,22.688971837378087,0.9715499999999999,0.01899027327466428,0.99,0.951,1.007,0.949
2015-10-20,0.997,0.997,0.71%,开放申购,开放赎回,,0.997,0.99,0.99,0.007000000000000006,0.0031428571428571456,0.007000000000000006,-0.007000000000000006,0.007000000000000006,0.0,79.09045818515581,29.421386670285525,45.77294910158338,24.408877206563723,0.97385,0.023771628074138733,0.997,0.956,1.007,0.949
2015-10-21,0.986,0.986,-1.10%,开放申购,开放赎回,,0.997,0.986,0.997,0.01100000000000001,0.003928571428571432,-0.01100000000000001,0.01100000000000001,0.0,0.01100000000000001,58.69063619901295,42.10830990419489,16.450892530006662,23.817775304354107,0.9753499999999999,0.010919157225611369,0.997,0.959,1.007,0.949
2015-10-22,0.997,0.997,1.12%,开放申购,开放赎回,,0.997,0.986,0.986,0.01100000000000001,0.004500000000000004,0.01100000000000001,-0.01100000000000001,0.01100000000000001,0.0,65.21473371909514,34.10185666634929,31.32696856788759,24.37395723938932,0.97725,0.020209772320286565,0.997,0.963,1.007,0.949
2015-10-23,1.004,1.004,0.70%,开放申购,开放赎回,,1.004,0.997,0.997,0.007000000000000006,0.004428571428571433,0.007000000000000006,-0.007000000000000006,0.007000000000000006,0.0,72.90133715787846,32.14739985188878,38.79526633642483,25.439286907396877,0.9793000000000001,0.025222097416521948,1.004,0.964,1.007,0.949
2015-10-26,1.0,1.0,-0.40%,开放申购,开放赎回,,1.004,1.0,1.004,0.0040000000000000036,0.004500000000000004,-0.0040000000000000036,0.0040000000000000036,0.0,0.0040000000000000036,66.5632066861063,35.77152871265355,30.089175345467208,25.7819458219271,0.9810000000000001,0.019367991845055967,1.004,0.964,1.007,0.949
2015-10-27,1.001,1.001,0.10%,开放申购,开放赎回,,1.001,1.0,1.0,0.0009999999999998899,0.0045714285714285674,0.0009999999999998899,-0.0009999999999998899,0.0009999999999998899,0.0,62.37360390609751,32.67173676825612,31.250208507965226,26.184002285978476,0.9827499999999999,0.018570338336301187,1.004,0.964,1.007,0.949
2015-10-28,0.992,0.992,-0.90%,开放申购,开放赎回,,1.001,0.992,1.001,0.008999999999999897,0.0048571428571428455,-0.008999999999999897,0.008999999999999897,0.0,0.008999999999999897,54.47166547373142,41.89330922302899,13.052829921124118,25.220547200862704,0.984,0.008130081300813016,1.004,0.964,1.007,0.949
2015-10-29,1.002,1.002,1.01%,开放申购,开放赎回,,1.002,0.992,0.992,0.010000000000000009,0.005499999999999989,0.010000000000000009,-0.010000000000000009,0.010000000000000009,0.0,57.7397512303323,34.33083983349958,25.424960485594678,25.23551624475083,0.98575,0.016484909967030167,1.004,0.964,1.007,0.949
2015-10-30,1.006,1.006,0.40%,开放申购,开放赎回,,1.006,1.002,1.002,0.0040000000000000036,0.005428571428571417,0.0040000000000000036,-0.0040000000000000036,0.0040000000000000036,0.0,59.59295519952255,32.277827242872945,29.73211638180685,25.564207285381787,0.9878499999999999,0.0183732348028548,1.006,0.969,1.007,0.949
2015-11-02,0.995,0.995,-1.09%,开放申购,开放赎回,,1.006,0.995,1.006,0.01100000000000001,0.00599999999999999,-0.01100000000000001,0.01100000000000001,0.0,0.01100000000000001,50.03703698467676,40.296342702860656,10.783050867253172,24.485539448928723,0.9890000000000001,0.006066734074822946,1.006,0.969,1.007,0.949
2015-11-03,0.992,0.992,-0.30%,开放申购,开放赎回,,0.995,0.992,0.995,0.0030000000000000027,0.006142857142857132,-0.0030000000000000027,0.0030000000000000027,0.0,0.0030000000000000027,45.357903781526446,40.04097394275903,6.225994978450872,23.15509180521983,0.9901500000000001,0.0018684037772053802,1.006,0.969,1.007,0.949
2015-11-04,1.011,1.011,1.92%,开放申购,开放赎回,,1.011,0.992,0.992,0.018999999999999906,0.007071428571428554,0.018999999999999906,-0.018999999999999906,0.018999999999999906,0.0,55.886104581566755,32.28236381142511,26.77118158039571,23.4181940039993,0.99225,0.018896447467875974,1.011,0.974,1.011,0.949
2015-11-05,1.012,1.012,0.10%,开放申购,开放赎回,,1.012,1.011,1.011,0.001000000000000112,0.006999999999999991,0.001000000000000112,-0.001000000000000112,0.001000000000000112,0.0,53.425952334289185,30.268266240022832,27.66939758653062,23.727095397916987,0.99415,0.01795503696625261,1.012,0.975,1.012,0.949
2015-11-06,1.029,1.029,1.68%,开放申购,开放赎回,,1.029,1.012,1.012,0.016999999999999904,0.008214285714285698,0.016999999999999904,-0.016999999999999904,0.016999999999999904,0.0,57.12356446416269,23.941061816752665,40.93339372517655,24.97580090654446,0.99685,0.03225159251642665,1.029,0.98,1.029,0.949
2015-11-09,1.049,1.049,1.94%,开放申购,开放赎回,,1.049,1.029,1.029,0.020000000000000018,0.009142857142857128,0.020000000000000018,-0.020000000000000018,0.020000000000000018,0.0,63.34345007993303,19.965141153570194,52.06943039617491,26.93980872669542,1.0003,0.04868539438168546,1.049,0.982,1.049,0.949
2015-11-10,1.054,1.054,0.48%,开放申购,开放赎回,,1.054,1.049,1.049,0.0050000000000001155,0.008714285714285706,0.0050000000000001155,-0.0050000000000001155,0.0050000000000001155,0.0,65.80687293043309,19.44357575036637,54.384813097774234,28.927178827082503,1.00385,0.04995766299745992,1.054,0.982,1.054,0.949
2015-11-11,1.065,1.065,1.04%,开放申购,开放赎回,,1.065,1.054,1.054,0.010999999999999899,0.008714285714285699,0.010999999999999899,-0.010999999999999899,0.010999999999999899,0.0,70.14216359783184,18.04850994233046,59.069345503725835,31.107711868333475,1.008,0.056547619047618985,1.065,0.986,1.065,0.949
2015-11-12,1.06,1.06,-0.47%,开放申购,开放赎回,,1.065,1.06,1.065,0.004999999999999893,0.008571428571428548,-0.004999999999999893,0.004999999999999893,0.0,0.004999999999999893,66.19630176239481,21.217229156684628,51.45550366492834,32.57836123682662,1.0116,0.04784499802293396,1.065,0.986,1.065,0.949
2015-11-13,1.039,1.039,-1.98%,开放申购,开放赎回,,1.06,1.039,1.06,0.02100000000000013,0.00978571428571427,-0.02100000000000013,0.02100000000000013,0.0,0.02100000000000013,53.82454692157849,32.63964019518062,24.50136574786772,31.995085405974894,1.01405,0.024604309452196667,1.065,0.986,1.065,0.949
2015-11-16,1.051,1.051,1.16%,开放申购,开放赎回,,1.051,1.039,1.039,0.01200000000000001,0.010571428571428565,0.01200000000000001,-0.01200000000000001,0.01200000000000001,0.0,54.389667405677244,28.047842772535063,31.953687800852766,31.992098248024032,1.0171,0.03333005604168719,1.065,0.986,1.065,0.949
2015-11-17,1.04,1.04,-1.05%,开放申购,开放赎回,,1.051,1.04,1.051,0.010999999999999899,0.010714285714285707,-0.010999999999999899,0.010999999999999899,0.0,0.010999999999999899,49.818507811115545,33.048369459973046,20.23744456579569,31.14452694086941,1.01925,0.020358106450821728,1.065,0.986,1.065,0.949
2015-11-18,1.025,1.025,-1.44%,开放申购,开放赎回,,1.04,1.025,1.04,0.015000000000000124,0.011071428571428574,-0.015000000000000124,0.015000000000000124,0.0,0.015000000000000124,44.7571185415043,39.398158717261516,6.367942687378621,29.35921505073876,1.0211999999999999,0.0037211124167646163,1.065,0.992,1.065,0.949
2015-11-19,1.045,1.045,1.95%,开放申购,开放赎回,,1.045,1.025,1.025,0.020000000000000018,0.012214285714285717,0.020000000000000018,-0.020000000000000018,0.020000000000000018,0.0,49.392711621917975,33.15360578183221,19.672719935714543,28.661678863261844,1.0236,0.020906604142242928,1.065,0.992,1.065,0.949
2015-11-20,1.055,1.055,0.96%,开放申购,开放赎回,,1.055,1.045,1.045,0.010000000000000009,0.012142857142857146,0.010000000000000009,-0.010000000000000009,0.010000000000000009,0.0,52.02303459106699,30.96022402548451,25.381999835544388,28.425642746394537,1.02615,0.028114798031476925,1.065,0.992,1.065,0.949
2015-11-23,1.056,1.056,0.09%,开放申购,开放赎回,,1.056,1.055,1.055,0.001000000000000112,0.01200000000000001,0.001000000000000112,-0.001000000000000112,0.001000000000000112,0.0,49.46958325606842,29.085481447696317,25.94880659221861,28.247482979204683,1.0289499999999998,0.026288935322416294,1.065,0.992,1.065,0.949
2015-11-24,1.068,1.068,1.14%,开放申购,开放赎回,,1.068,1.056,1.056,0.01200000000000001,0.011500000000000019,0.01200000000000001,-0.01200000000000001,0.01200000000000001,0.0,55.39534181740232,28.17721809531194,32.568254162033355,28.55812181335169,1.0323,0.0345829700668411,1.068,0.992,1.068,0.949
2015-11-25,1.095,1.095,2.53%,开放申购,开放赎回,,1.095,1.068,1.068,0.026999999999999913,0.01335714285714286,0.026999999999999913,-0.026999999999999913,0.026999999999999913,0.0,58.748716775002485,22.52300516225415,44.573574607801824,29.709005631589875,1.03745,0.05547255289411537,1.095,0.992,1.095,0.949
2015-11-26,1.087,1.087,-0.73%,开放申购,开放赎回,,1.095,1.087,1.095,0.008000000000000007,0.012714285714285725,-0.008000000000000007,0.008000000000000007,0.0,0.008000000000000007,57.301903693401655,26.471622761244255,36.80193760119264,30.21848941733658,1.0417,0.04348660842853019,1.095,0.992,1.095,0.949
2015-11-27,1.04,1.04,-4.32%,开放申购,开放赎回,,1.087,1.04,1.087,0.04699999999999993,0.014642857142857148,-0.04699999999999993,0.04699999999999993,0.0,0.04699999999999993,46.19436424895338,44.30934158413836,2.082812684257819,28.198320298973012,1.0434,-0.0032585777266628995,1.095,0.992,1.095,0.949
2015-11-30,1.05,1.05,0.96%,开放申购,开放赎回,,1.05,1.04,1.04,0.010000000000000009,0.014999999999999998,0.010000000000000009,-0.010000000000000009,0.010000000000000009,0.0,46.63800164758496,40.15947877035861,7.463952693132607,26.710126631393045,1.04615,0.0036801605888258197,1.095,0.992,1.095,0.949
2015-12-01,1.028,1.028,-2.10%,开放申购,开放赎回,,1.05,1.028,1.05,0.02200000000000002,0.015785714285714292,-0.02200000000000002,0.02200000000000002,0.0,0.02200000000000002,41.14615380189945,45.40105892700449,4.916282097302067,25.146430337793955,1.04795,-0.01903716780380735,1.095,1.011,1.095,0.949
2015-12-02,1.006,1.006,-2.14%,开放申购,开放赎回,,1.028,1.006,1.028,0.02200000000000002,0.017000000000000015,-0.02200000000000002,0.02200000000000002,0.0,0.02200000000000002,35.47403953971733,48.39971313369867,15.410868337214822,24.44813321439303,1.0477,-0.03980146988641793,1.095,1.006,1.095,0.949
2015-12-03,1.027,1.027,2.09%,开放申购,开放赎回,,1.027,1.006,1.006,0.020999999999999908,0.016999999999999998,0.020999999999999908,-0.020999999999999908,0.020999999999999908,0.0,41.77231465671661,44.937860651592345,3.6507203262134325,22.956853191402764,1.0484499999999999,-0.020458772473651552,1.095,1.006,1.095,0.949
2015-12-04,1.022,1.022,-0.49%,开放申购,开放赎回,,1.027,1.022,1.027,0.004999999999999893,0.01649999999999999,-0.004999999999999893,0.004999999999999893,0.0,0.004999999999999893,39.96008403843633,45.15554934292595,6.104008274497868,21.748752747794764,1.0481,-0.02490220398816908,1.095,1.006,1.095,0.949
2015-12-07,1.033,1.033,1.08%,开放申购,开放赎回,,1.033,1.022,1.022,0.010999999999999899,0.01649999999999999,0.010999999999999899,-0.010999999999999899,0.010999999999999899,0.0,41.86994715344062,41.92634853770384,0.06730772977256834,20.194911728217363,1.0473,-0.013654158311849499,1.095,1.006,1.095,0.949
