净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,high,low,previous_close,tr,atr,up_move,down_move,+dm,-dm,+di,-di,dx,adx,moving_average,deviation,recent_high,recent_low,historical_high,historical_low,long_ma,short_ma,trend,downtrend,uptrend,stop_loss,take_profit,trailing_stop
2018-11-26,0.432,0.432,-0.23%,开放申购,开放赎回,,0.433,0.432,0.433,0.0010000000000000009,0.006071428571428569,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,43.46187960957356,65.4457624029653,20.185803665513824,16.667586558152227,0.44555,-0.03041185052182697,0.47,0.415,1.095,0.411,0.4565600000000001,0.44555,downtrend,1.0,0.0,stop_loss,,0.39744
2018-12-19,0.41,0.41,-1.68%,开放申购,开放赎回,,0.417,0.41,0.417,0.007000000000000006,0.005642857142857148,-0.007000000000000006,0.007000000000000006,0.0,0.007000000000000006,35.98646123063138,68.87974309814703,31.36690421671795,16.4313836157633,0.43194999999999995,-0.05081606667438354,0.449,0.41,1.095,0.41,0.43666000000000005,0.43194999999999995,downtrend,1.0,0.0,stop_loss,,0.3772
2019-01-30,0.393,0.393,-1.50%,开放申购,开放赎回,,0.399,0.393,0.399,0.006000000000000005,0.004428571428571428,-0.006000000000000005,0.006000000000000005,0.0,0.006000000000000005,34.171327111100574,69.35830113678757,33.9873470244058,15.280263900255138,0.41209999999999997,-0.04634797379276863,0.424,0.393,1.095,0.393,0.42135999999999996,0.41209999999999997,downtrend,1.0,0.0,stop_loss,,0.36156000000000005
2019-01-31,0.384,0.384,-2.29%,开放申购,开放赎回,,0.393,0.384,0.393,0.009000000000000008,0.004928571428571429,-0.009000000000000008,0.009000000000000008,0.0,0.009000000000000008,28.51147997054561,70.91386202510434,42.64745909188215,17.235063556799926,0.41125,-0.06626139817629179,0.424,0.384,1.095,0.384,0.42001999999999995,0.41125,downtrend,1.0,0.0,stop_loss,,0.35328000000000004
2019-04-11,0.513,0.513,-0.97%,开放申购,开放赎回,,0.518,0.513,0.518,0.0050000000000000044,0.002928571428571431,-0.0050000000000000044,0.0050000000000000044,0.0,0.0050000000000000044,82.66311799831858,58.24964687652462,17.32523745700233,30.92630926469875,0.51075,0.004405286343612284,0.522,0.497,1.095,0.384,0.47636,0.51075,uptrend,1.0,0.0,stop_loss,,0.47196000000000005
2019-04-12,0.512,0.512,-0.19%,开放申购,开放赎回,,0.513,0.512,0.513,0.0010000000000000009,0.0028571428571428597,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,78.67757480911393,57.94118175926361,15.178291451856238,29.801450849495712,0.5115,0.0009775171065494741,0.522,0.499,1.095,0.384,0.47834000000000004,0.5115,uptrend,1.0,0.0,stop_loss,,0.47104
2019-04-15,0.51,0.51,-0.39%,开放申购,开放赎回,,0.512,0.51,0.512,0.0020000000000000018,0.002928571428571431,-0.0020000000000000018,0.0020000000000000018,0.0,0.0020000000000000018,71.27585174344817,57.368317970064595,10.810854315710765,28.44497966851107,0.51205,-0.004003515281710763,0.522,0.502,1.095,0.384,0.48036,0.51205,uptrend,1.0,0.0,stop_loss,,0.4692
2019-08-06,0.506,0.506,-0.20%,开放申购,开放赎回,,0.507,0.506,0.507,0.0010000000000000009,0.0023571428571428593,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,33.73533571858277,55.80536232276073,24.648039480312743,18.00621223915623,0.51465,-0.016807539104245692,0.518,0.506,1.095,0.384,0.5086400000000001,0.51465,uptrend,1.0,0.0,stop_loss,,0.46552000000000004
2019-08-07,0.503,0.503,-0.59%,开放申购,开放赎回,,0.506,0.503,0.506,0.0030000000000000027,0.0022142857142857164,-0.0030000000000000027,0.0030000000000000027,0.0,0.0030000000000000027,33.346679777124436,64.83986275683031,32.07484668157547,19.011114699329035,0.514,-0.02140077821011675,0.518,0.503,1.095,0.384,0.5087600000000001,0.514,uptrend,1.0,0.0,stop_loss,,0.46276
2019-11-25,0.556,0.556,-0.18%,开放申购,开放赎回,,0.557,0.556,0.557,0.0010000000000000009,0.001142857142857136,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,55.5357525647746,70.25309793543335,11.700039639550104,15.708317476531224,0.5599000000000001,-0.0069655295588498195,0.565,0.556,1.095,0.384,0.55754,0.5599000000000001,uptrend,1.0,0.0,stop_loss,,0.5115200000000001
2019-12-23,0.569,0.569,-1.39%,开放申购,开放赎回,,0.577,0.569,0.577,0.008000000000000007,0.0032857142857142807,-0.008000000000000007,0.008000000000000007,0.0,0.008000000000000007,42.752929752678455,40.26722766797083,2.9940946415133713,30.12283996083424,0.56745,0.002731518195435616,0.585,0.556,1.095,0.384,0.5623,0.56745,uptrend,1.0,0.0,stop_loss,,0.52348
2020-03-16,0.594,0.594,-5.71%,开放申购,开放赎回,,0.63,0.594,0.63,0.03600000000000003,0.01421428571428572,-0.03600000000000003,0.03600000000000003,0.0,0.03600000000000003,31.66925609156323,59.47229929547054,30.50534203178927,21.096318809033544,0.66155,-0.10210868415085783,0.703,0.594,1.095,0.384,0.6325,0.66155,uptrend,1.0,0.0,stop_loss,,0.54648
2020-05-25,0.6332,0.6332,-0.19%,开放申购,开放赎回,,0.6344,0.6332,0.6344,0.0011999999999999789,0.0061285714285714355,-0.0011999999999999789,0.0011999999999999789,0.0,0.0011999999999999789,51.45800397237165,58.53944825655674,6.437825732042484,15.900009632293669,0.6429750000000001,-0.015202768381352445,0.662,0.617,1.095,0.384,0.62171,0.6429750000000001,uptrend,1.0,0.0,stop_loss,,0.5825440000000001
